"","Genes","batch1.0819.RNA","batch2.1006.RNA","batch1.0819.SCT","batch2.1006.SCT","batchsum_SCT","batchsum_RNA"
"1","Gr1",31,3,25,4,29,34
"2","Gr10",11,0,6,0,6,11
"3","Gr11",6,2,5,2,7,8
"4","Gr14",12,0,12,0,12,12
"5","Gr15",40,44,29,49,78,84
"6","Gr19a",6,5,5,6,11,11
"7","Gr19c",1,0,1,0,1,1
"8","Gr20i",1,0,0,0,0,1
"9","Gr22",10,1,7,2,9,11
"10","Gr23",18,3,14,5,19,21
"11","Gr25",22,3,21,3,24,25
"12","Gr26",20,8,17,9,26,28
"13","Gr30",68,10,56,10,66,78
"14","Gr31",22,2,15,2,17,24
"15","Gr32",11,1,10,1,11,12
"16","Gr33a",2,0,2,0,2,2
"17","Gr34",34,8,28,9,37,42
"18","Gr39g",0,2,0,2,2,2
"19","Gr39h",4,3,2,3,5,7
"20","Gr45",3,0,1,0,1,3
"21","Gr46",16,2,12,2,14,18
"22","Gr62",30,3,22,3,25,33
"23","Gr63",21,4,14,4,18,25
"24","Gr64",54,5,41,6,47,59
"25","Gr66",14,8,11,9,20,22
"26","Gr67a",32,9,23,11,34,41
"27","Gr7",45,3,33,4,37,48
"28","Gr73",73,28,60,30,90,101
"29","Gr74a",24,5,15,6,21,29
"30","Gr76",40,10,29,9,38,50
"31","Gr77",277,47,214,53,267,324
"32","Gr8",15,2,13,3,16,17
"33","Gr80",14,4,10,4,14,18
"34","Ir100a",54,12,50,11,61,66
"35","Ir102",4,0,2,0,2,4
"36","Ir103",11,0,9,0,9,11
"37","Ir107",10,1,9,1,10,11
"38","Ir108",24,4,19,4,23,28
"39","Ir111",10,0,8,0,8,10
"40","Ir114",5,0,2,0,2,5
"41","Ir117",43,18,39,20,59,61
"42","Ir134",0,0,0,0,0,0
"43","Ir135",0,0,0,0,0,0
"44","Ir136",60,17,46,18,64,77
"45","Ir137",5,4,4,4,8,9
"46","Ir138",13,0,12,0,12,13
"47","Ir141",5,0,3,0,3,5
"48","Ir161",54,2,38,2,40,56
"49","Ir162",28,4,21,5,26,32
"50","Ir163",6,0,6,0,6,6
"51","Ir164",2,0,2,0,2,2
"52","Ir21a",90,22,51,20,71,112
"53","Ir25a",7860,839,4905,1002,5907,8699
"54","Ir31a1",2026,231,1404,270,1674,2257
"55","Ir31a2",254,33,185,45,230,287
"56","Ir40a",24,1,17,1,18,25
"57","Ir41a",864,238,657,289,946,1102
"58","Ir41b",832,207,642,249,891,1039
"59","Ir41c",1036,276,814,341,1155,1312
"60","Ir41d",10,0,8,0,8,10
"61","Ir41e",32,3,31,4,35,35
"62","Ir41f",842,262,685,331,1016,1104
"63","Ir41g",15,12,11,17,28,27
"64","Ir41j",163,13,104,16,120,176
"65","Ir41k",4951,293,2887,324,3211,5244
"66","Ir41l",682,77,461,81,542,759
"67","Ir41m",53,7,38,8,46,60
"68","Ir41n",10,5,8,6,14,15
"69","Ir41o",463,120,341,131,472,583
"70","Ir41p",581,105,438,121,559,686
