"Gene","pseudo_bulk","NormalizedData_CellCount_0.5","NormalizedData_CellCount_1.0","NormalizedData_CellCount_1.5","NormalizedData_CellCount_2.0"
"Gr1",19914,201,201,194,188
"Orco",9076,526,489,432,402
"Or8",1615,268,237,194,173
"Or49",1276,190,180,161,140
"Gr2",1212,223,212,176,126
"Ir25a",1145,436,398,286,158
"Gr3",530,165,147,98,52
"Ir76b",477,208,185,131,66
"Ir75i",116,91,83,66,41
"Ir64a",115,105,79,40,20
"Or16",100,68,53,29,13
"Ir93a",90,72,59,31,12
"Ir75g",73,68,45,21,8
"Ir41k",70,61,40,16,7
"Ir162",57,44,35,18,3
"Ir100a",53,18,17,14,10
"Gr64",53,49,34,16,8
"Gr77",50,47,36,16,3
"Ir41a",47,39,30,13,4
"Ir161",40,34,24,10,1
"Ir41o",39,34,16,5,0
"Gr67a",36,33,26,10,4
"Or44",34,30,16,8,1
"Gr73",31,28,20,14,5
"Gr30",30,29,21,8,3
"Or47",29,18,9,4,2
"Gr26",28,27,23,13,6
"Or6",27,25,16,5,1
"Gr74a",26,26,17,7,1
"Ir75e",26,24,17,7,1
"Or132",25,21,16,8,5
"Or4",24,5,4,2,1
"Or48",23,21,16,8,2
"Ir31a2",20,19,14,7,5
"Gr32",19,17,11,7,0
"Gr25",18,15,10,5,3
"Ir163",18,18,15,3,1
"Or81",17,17,9,4,1
"Or9",16,15,12,6,1
"Gr7",16,14,9,4,1
"Or23",16,16,12,11,4
"Or94",16,11,9,3,1
"Gr10",15,15,12,9,2
"Ir41p",15,11,9,6,1
"Gr19a",14,13,8,6,4
"Gr31",13,13,10,7,3
"Gr8",13,12,10,3,1
"Ir75h",12,11,8,3,1
"Gr76",12,12,10,4,0
"Ir75d",12,11,7,5,2
"Ir117",12,12,9,6,4
"Or125",11,9,0,0,0
"Or104",10,9,6,2,0
"Or128",10,10,10,8,1
"Gr23",10,9,6,1,0
"Ir137",9,8,6,3,2
"Gr11",9,9,7,5,2
"Or29",9,9,6,2,2
"Gr34",9,8,4,4,1
"Or38",9,9,6,3,0
"Or22",9,9,7,6,1
"Ir8a",8,7,5,2,0
"Or82",8,4,3,1,1
"Ir31a1",8,8,4,1,0
"Ir164",8,8,4,2,1
"Or36",7,3,3,2,1
"Or121",7,7,5,1,0
"Gr63",7,7,7,4,1
"Gr62",7,7,4,1,1
"Or77",6,6,1,0,0
"Ir102",6,6,4,2,0
"Or122",6,6,4,3,3
"Gr22",6,6,4,1,0
"Gr46",6,5,5,4,2
"Gr55",6,5,3,1,1
"Or28",6,6,4,3,2
"Or52",6,4,2,0,0
"Or97",6,5,4,2,1
"Gr80",6,5,5,0,0
"Gr45",6,6,5,1,0
"Ir41b",6,6,4,1,0
"Or58",5,5,2,1,0
"Gr39e",5,5,3,3,2
"Or71",5,4,3,2,2
"Gr14",5,4,3,0,0
"Ir41n",5,5,4,2,1
"Or34",5,5,0,0,0
"Or32",4,4,1,1,1
"Ir103",4,3,3,0,0
"Gr19c",4,3,2,1,0
"Gr39a",4,4,1,0,0
"Gr39d",4,3,2,2,1
"Gr69",4,4,3,1,0
"Ir21a",4,4,2,1,0
"Ir75f",4,4,3,2,2
"Ir75j",4,4,4,4,1
"Gr43",4,4,2,0,0
"Or85",4,3,3,0,0
"Ir41c",4,3,2,0,0
"Ir75k",4,4,1,1,1
"Ir7e",4,3,2,1,0
"Ir113",4,4,3,0,0
"Ir136",3,3,2,1,0
"Ir134",3,3,3,2,0
"Gr16",3,3,3,1,0
"Gr33a",3,3,2,0,0
"Gr39h",3,3,1,1,1
"Ir169",3,3,2,0,0
"Ir107",3,3,1,0,0
"Gr60a",3,3,1,1,1
"Or43",3,3,1,1,1
"Or67",3,3,2,2,0
"Or84",3,3,1,1,1
"Gr58",3,3,1,0,0
