"Gene","pseudo_bulk","NormalizedData_CellCount_0.5","NormalizedData_CellCount_1.0","NormalizedData_CellCount_1.5","NormalizedData_CellCount_2.0"
"Orco",105764,5852,5745,5473,5215
"Ir25a",10572,3552,3121,2120,1159
"Or84",9956,1373,1148,855,664
"Ir76b",8974,2076,1732,1228,894
"Ir41k",5873,416,289,148,76
"Or47",5708,677,530,357,267
"Or132",3399,355,266,174,120
"Ir31a1",2573,233,190,143,118
"Ir8a",2091,808,658,456,287
"Or87",2008,996,793,495,224
"Or113",1993,823,677,432,258
"Ir41c",1681,406,333,238,184
"Or36",1654,731,616,440,244
"Or4",1577,450,306,195,141
"Or82",1503,444,365,258,188
"Ir41a",1479,888,645,371,192
"Ir75h",1475,289,231,176,129
"Ir41f",1472,296,245,180,136
"Ir75g",1418,298,222,126,73
"Or6",1238,236,175,115,87
"Or103",1234,438,329,202,125
"Ir41b",1171,173,138,109,78
"Or112",1121,596,456,271,125
"Or38",1084,264,194,130,85
"Ir41l",1043,241,173,113,75
"Or85",1027,292,253,196,145
"Ir64a",1016,419,267,147,69
"Or94",1006,457,372,247,137
"Or88",927,590,435,243,94
"Or59",874,218,179,135,96
"Or104",868,509,374,193,74
"Or111",838,494,367,186,54
"Ir41p",820,236,181,113,76
"Or69",802,326,252,176,111
"Ir41o",775,462,314,169,87
"Or16",749,427,287,144,87
"Or11",712,382,277,153,70
"Or63",672,314,259,191,123
"Or79",670,234,174,100,63
"Ir75b",608,227,201,153,107
"Or97",561,408,276,132,44
"Or23",527,277,204,125,73
"Ir75e",504,237,148,71,31
"Ir75a",485,227,191,138,99
"Or64",482,233,197,135,94
"Or71",477,273,220,138,75
"Or81",471,354,239,108,39
"Or52",470,316,226,120,55
"Or122",464,186,144,94,54
"Ir75c",444,207,168,119,86
"Ir75i",427,180,116,66,40
"Gr77",427,273,206,102,45
"Or27",423,197,151,95,39
"Or100",404,293,222,109,25
"Or121",393,175,136,76,39
"Ir31a2",358,115,89,59,33
"Ir75f",352,124,96,56,32
"Or105",352,281,186,76,19
"Ir87a2",346,160,122,90,53
"Or72",327,221,158,78,31
"Or10",303,154,112,61,35
"Or44",273,184,130,74,32
"Ir93a",260,121,82,41,16
"Or110",259,99,83,64,35
"Or115",245,136,105,51,26
"Or25",239,40,30,21,15
"Or2",234,116,79,45,20
"Or91",228,118,91,51,27
"Or14",226,66,49,33,22
"Ir41j",225,67,55,34,21
"Or32",224,114,80,43,17
"Or29",223,120,76,37,14
"Or15",198,58,39,31,23
"Or33",197,50,35,26,18
"Or54",185,100,71,33,17
"Or80",178,90,72,35,18
"Or3",173,84,68,46,30
"Or41",172,96,74,47,30
"Or125",169,109,71,33,12
"Or26",161,102,66,26,9
"Or78",160,87,57,30,11
"Ir87a1",155,65,57,44,28
"Or114",154,92,62,35,17
"Or31",152,57,43,30,21
"Ir21a",148,44,34,24,14
"Or42",144,74,63,40,25
"Gr30",139,122,70,16,8
"Ir75k",138,76,59,37,17
"Or130",137,75,62,39,23
"Or45",135,103,77,39,19
"Gr73",135,129,80,35,12
"Or50",133,86,57,21,9
"Or30",130,66,54,32,12
"Or95",123,83,61,32,10
"Or116",115,73,51,21,9
"Ir75d",115,56,39,27,18
"Or48",107,97,63,26,10
"Or86",102,82,52,15,3
"Ir136",101,92,58,30,9
"Or123",96,73,44,12,4
"Or13",94,46,32,22,9
"Gr64",91,85,45,9,3
"Gr15",89,43,29,20,12
"Ir117",87,79,50,20,8
"Ir41m",79,56,39,17,7
"Ir75l",78,49,40,27,15
"Or58",69,62,44,24,9
"Or101",69,54,35,17,4
"Or67",68,54,37,19,7
"Or62",68,63,41,14,3
"Ir100a",67,21,20,13,11
"Gr7",65,60,36,12,6
"Or28",65,51,33,10,2
"Ir161",64,51,27,12,4
"Gr76",63,43,27,12,7
"Or55",61,48,27,15,5
"Or22",61,51,31,17,2
"Or77",60,46,21,6,0
"Ir162",59,57,34,11,3
"Or106",58,39,29,14,3
"Or24",58,30,19,9,4
"Gr34",56,49,29,10,4
"Or51",55,40,22,10,1
"Ir41e",55,32,22,16,11
"Gr67a",54,49,31,15,4
"Or57",53,40,26,15,4
"Or133",53,43,29,13,5
"Or107",51,40,26,14,2
"Or117",51,31,18,8,2
"Or102",51,43,27,9,3
"Ir41g",49,40,23,13,6
"Or93",45,30,16,9,1
"Or131",45,41,17,5,0
"Gr74a",45,44,24,6,2
"Or119",45,40,26,9,2
"Gr80",45,44,21,7,1
"Or34",41,39,26,11,3
"Or76",40,28,16,4,0
"Or43",40,32,22,11,4
"Or92",38,26,12,8,4
"Ir103",38,28,15,4,2
"Gr62",37,35,16,6,2
"Gr1",36,34,19,6,1
"Or118",36,29,15,6,0
"Gr26",35,33,19,5,3
"Ir7j",34,22,15,5,0
"Or99",34,28,19,10,4
"Gr25",34,34,23,8,3
"Ir40a",32,27,14,5,1
"Ir108",32,31,15,4,3
"Gr63",31,30,17,7,0
"Gr23",30,26,16,4,2
"Gr31",27,25,10,2,1
"Ir7n",22,20,14,3,0
"Ir41n",21,20,10,2,1
"Gr66",20,12,10,8,3
"Or128",20,18,12,2,1
"Ir137",19,19,10,5,1
"Gr8",19,19,8,2,1
"Gr19a",18,17,10,5,3
"Gr14",17,16,13,4,1
"Gr32",17,15,8,3,0
"Or40",17,16,10,5,2
"Or20",17,13,9,4,0
"Or9",16,16,11,2,0
"Or37",16,14,8,4,1
"Ir163",16,16,8,3,2
"Gr10",15,15,8,3,1
"Gr46",15,12,6,2,0
"Ir138",15,15,9,4,1
"Gr22",14,13,7,3,1
"Or73",13,12,6,3,1
"Gr11",13,12,9,3,0
"Ir107",13,13,7,4,1
"Ir111",13,13,5,0,0
"Gr19c",11,7,6,3,1
"Gr65",11,7,4,4,1
"Gr20d",11,8,6,4,2
"Gr20c",11,10,6,3,0
"Ir7e",11,10,4,2,0
"Ir41d",11,9,6,3,2
"Gr43",10,9,4,2,1
"Gr33b",9,8,4,2,1
"Gr39h",9,8,4,4,1
"Gr20i",9,6,3,0,0
"Or70",8,7,3,1,0
"Gr33a",8,8,6,3,0
"Gr58",8,6,4,3,0
"Ir118",8,8,4,0,0
"Ir7h",7,6,2,1,0
"Gr39e",7,7,4,3,3
"Or49",7,7,6,1,0
"Or68",7,6,2,1,0
"Ir129",7,7,3,0,0
"Ir100d",6,5,2,0,0
"Ir102",6,6,4,1,0
"Gr16",6,5,3,1,0
"Ir141",6,6,4,2,0
"Or90",6,6,3,1,0
"Ir113",6,6,5,1,0
"Gr2",5,5,3,1,1
"Ir160",5,5,2,1,0
"Ir130",5,5,4,1,0
"Ir114",5,4,2,0,0
"Or74",4,4,1,1,1
"Ir134",4,3,3,0,0
"Gr39a",4,4,3,1,1
"Gr39d",4,4,2,1,0
"Gr39f",4,4,4,3,1
"Gr39g",4,4,2,1,0
"Gr67c",4,4,4,1,0
"Gr20b",4,3,2,0,0
"Gr60d",4,3,2,0,0
"Ir105",4,3,1,1,0
"Ir157",3,3,2,0,0
"Gr35",3,3,1,0,0
"Gr69",3,3,1,1,1
"Or108",3,3,0,0,0
"Ir109",3,3,1,1,1
"Ir148",3,3,1,0,0
"Gr45",3,3,1,0,0
"Ir128",3,3,2,1,0
"Ir106",3,3,1,0,0
"Ir7c",2,2,0,0,0
"Gr39c",2,2,2,0,0
"Ir75j",2,2,2,2,0
"Gr4",2,1,1,1,1
"Gr6",2,2,1,0,0
"Gr20g",2,2,1,0,0
"Gr20a",2,2,0,0,0
"Gr20m",2,2,0,0,0
"Ir116",2,2,1,0,0
"Ir164",2,2,2,0,0
"Gr74d",2,2,2,1,1
"Ir7k",1,1,0,0,0
"Ir135",1,1,0,0,0
"Gr18",1,1,0,0,0
"Gr61a",1,1,1,1,0
"Gr61b",1,1,0,0,0
"Ir7q",1,1,0,0,0
"Ir140",1,1,1,0,0
"Or18",1,1,1,1,0
"Ir152",1,1,0,0,0
"Or89",1,1,1,0,0
"Ir133",1,1,1,0,0
"Ir7d",0,0,0,0,0
"Gr37",0,0,0,0,0
"Or120",0,0,0,0,0
"Ir169",0,0,0,0,0
"Gr21",0,0,0,0,0
"Gr41",0,0,0,0,0
"Gr61c",0,0,0,0,0
"Gr13",0,0,0,0,0
"Ir158",0,0,0,0,0
"Ir126",0,0,0,0,0
"Ir110",0,0,0,0,0
"Gr60a",0,0,0,0,0
