"Gene","pseudo_bulk","RawData_CellCount_0.5","RawData_CellCount_1.0","RawData_CellCount_1.5","RawData_CellCount_2.0"
"Orco",105764,5852,5169,5169,4813
"Ir25a",10572,3562,1820,1820,1123
"Or84",9956,1382,693,693,568
"Ir76b",8974,2098,1046,1046,792
"Ir41k",5873,427,76,76,51
"Or47",5708,682,275,275,224
"Or132",3399,362,112,112,93
"Ir31a1",2573,237,119,119,110
"Ir8a",2091,817,385,385,248
"Or87",2008,1007,405,405,234
"Or113",1993,832,410,410,278
"Ir41c",1681,413,213,213,185
"Or36",1654,739,405,405,230
"Or4",1577,463,144,144,125
"Or82",1503,445,216,216,172
"Ir41a",1479,907,249,249,112
"Ir75h",1475,291,152,152,125
"Ir41f",1472,299,142,142,125
"Ir75g",1418,303,77,77,59
"Or6",1238,240,94,94,79
"Or103",1234,441,179,179,132
"Ir41b",1171,176,80,80,72
"Or112",1121,605,270,270,130
"Or38",1084,267,81,81,69
"Ir41l",1043,244,73,73,59
"Or85",1027,295,161,161,125
"Ir64a",1016,432,75,75,42
"Or94",1006,462,223,223,123
"Or88",927,598,198,198,81
"Or59",874,221,103,103,88
"Or104",868,519,187,187,76
"Or111",838,501,170,170,87
"Ir41p",820,240,89,89,70
"Or69",802,330,150,150,106
"Ir41o",775,474,91,91,49
"Or16",749,437,107,107,58
"Or11",712,389,128,128,71
"Or63",672,317,176,176,96
"Or79",670,238,74,74,55
"Ir75b",608,227,135,135,91
"Or97",561,415,99,99,33
"Or23",527,281,92,92,60
"Ir75e",504,247,50,50,33
"Ir75a",485,230,106,106,63
"Or64",482,236,110,110,60
"Or71",477,276,103,103,50
"Or81",471,360,67,67,22
"Or52",470,323,78,78,34
"Or122",464,191,61,61,46
"Ir75c",444,207,95,95,57
"Ir75i",427,188,60,60,30
"Gr77",427,280,79,79,41
"Or27",423,203,80,80,51
"Or100",404,301,76,76,21
"Or121",393,176,62,62,46
"Ir31a2",358,118,41,41,33
"Ir75f",352,127,53,53,39
"Or105",352,289,52,52,9
"Ir87a2",346,162,72,72,38
"Or72",327,227,54,54,28
"Or10",303,157,46,46,29
"Or44",273,193,42,42,20
"Ir93a",260,125,34,34,22
"Or110",259,101,55,55,42
"Or115",245,138,55,55,29
"Or25",239,41,17,17,15
"Or2",234,118,22,22,16
"Or91",228,120,42,42,23
"Or14",226,66,27,27,26
"Ir41j",225,69,26,26,23
"Or32",224,118,45,45,26
"Or29",223,124,25,25,21
"Or15",198,59,27,27,23
"Or33",197,51,26,26,17
"Or54",185,101,25,25,13
"Or80",178,93,33,33,20
"Or3",173,85,35,35,17
"Or41",172,96,37,37,22
"Or125",169,112,17,17,13
"Or26",161,105,26,26,12
"Or78",160,91,26,26,15
"Ir87a1",155,66,33,33,20
"Or114",154,95,33,33,10
"Or31",152,58,21,21,16
"Ir21a",148,45,20,20,14
"Or42",144,74,33,33,17
"Gr30",139,130,8,8,1
"Ir75k",138,79,28,28,16
"Or130",137,75,32,32,14
"Or45",135,103,21,21,7
"Gr73",135,132,3,3,0
"Or50",133,86,18,18,8
"Or30",130,66,29,29,15
"Or95",123,86,22,22,8
"Or116",115,76,20,20,8
"Ir75d",115,57,22,22,13
"Or48",107,103,4,4,0
"Or86",102,87,11,11,2
"Ir136",101,92,9,9,0
"Or123",96,76,15,15,4
"Or13",94,50,19,19,11
"Gr64",91,89,2,2,0
"Gr15",89,43,15,15,11
"Ir117",87,82,5,5,0
"Ir41m",79,56,14,14,7
"Ir75l",78,50,19,19,8
"Or58",69,64,5,5,0
"Or101",69,54,11,11,3
"Or67",68,55,8,8,3
"Or62",68,64,4,4,0
"Ir100a",67,21,12,12,10
"Gr7",65,64,1,1,0
"Or28",65,52,8,8,2
"Ir161",64,52,9,9,2
"Gr76",63,46,5,5,3
"Or55",61,50,8,8,3
"Or22",61,52,7,7,1
"Or77",60,48,11,11,1
"Ir162",59,59,0,0,0
"Or106",58,39,8,8,3
"Or24",58,30,12,12,8
"Gr34",56,50,4,4,1
"Or51",55,42,8,8,3
"Ir41e",55,33,8,8,5
"Gr67a",54,51,3,3,0
"Or57",53,41,9,9,3
"Or133",53,43,6,6,3
"Or107",51,40,9,9,2
"Or117",51,31,8,8,1
"Or102",51,45,5,5,1
"Ir41g",49,41,7,7,1
"Or93",45,31,7,7,4
"Or131",45,42,3,3,0
"Gr74a",45,45,0,0,0
"Or119",45,40,3,3,2
"Gr80",45,45,0,0,0
"Or34",41,41,0,0,0
"Or76",40,30,8,8,1
"Or43",40,33,6,6,1
"Or92",38,29,5,5,2
"Ir103",38,29,8,8,1
"Gr62",37,37,0,0,0
"Gr1",36,36,0,0,0
"Or118",36,31,4,4,1
"Gr26",35,33,2,2,0
"Ir7j",34,22,8,8,3
"Or99",34,31,3,3,0
"Gr25",34,34,0,0,0
"Ir40a",32,27,4,4,1
"Ir108",32,31,1,1,0
"Gr63",31,31,0,0,0
"Gr23",30,29,1,1,0
"Gr31",27,26,1,1,0
"Ir7n",22,20,2,2,0
"Ir41n",21,21,0,0,0
"Gr66",20,12,6,6,1
"Or128",20,20,0,0,0
"Ir137",19,19,0,0,0
"Gr8",19,19,0,0,0
"Gr19a",18,18,0,0,0
"Gr14",17,16,1,1,0
"Gr32",17,17,0,0,0
"Or40",17,16,1,1,0
"Or20",17,13,4,4,0
"Or9",16,16,0,0,0
"Or37",16,14,1,1,1
"Ir163",16,16,0,0,0
"Gr10",15,15,0,0,0
"Gr46",15,13,1,1,1
"Ir138",15,15,0,0,0
"Gr22",14,13,1,1,0
"Or73",13,13,0,0,0
"Gr11",13,12,1,1,0
"Ir107",13,13,0,0,0
"Ir111",13,13,0,0,0
"Gr19c",11,7,2,2,2
"Gr65",11,7,2,2,2
"Gr20d",11,8,3,3,0
"Gr20c",11,10,1,1,0
"Ir7e",11,11,0,0,0
"Ir41d",11,10,1,1,0
"Gr43",10,10,0,0,0
"Gr33b",9,8,1,1,0
"Gr39h",9,9,0,0,0
"Gr20i",9,6,2,2,1
"Or70",8,8,0,0,0
"Gr33a",8,8,0,0,0
"Gr58",8,7,1,1,0
"Ir118",8,8,0,0,0
"Ir7h",7,6,1,1,0
"Gr39e",7,7,0,0,0
"Or49",7,7,0,0,0
"Or68",7,7,0,0,0
"Ir129",7,7,0,0,0
"Ir100d",6,6,0,0,0
"Ir102",6,6,0,0,0
"Gr16",6,5,1,1,0
"Ir141",6,6,0,0,0
"Or90",6,6,0,0,0
"Ir113",6,6,0,0,0
"Gr2",5,5,0,0,0
"Ir160",5,5,0,0,0
"Ir130",5,5,0,0,0
"Ir114",5,5,0,0,0
"Or74",4,4,0,0,0
"Ir134",4,4,0,0,0
"Gr39a",4,4,0,0,0
"Gr39d",4,4,0,0,0
"Gr39f",4,4,0,0,0
"Gr39g",4,4,0,0,0
"Gr67c",4,4,0,0,0
"Gr20b",4,3,1,1,0
"Gr60d",4,3,1,1,0
"Ir105",4,4,0,0,0
"Ir157",3,3,0,0,0
"Gr35",3,3,0,0,0
"Gr69",3,3,0,0,0
"Or108",3,3,0,0,0
"Ir109",3,3,0,0,0
"Ir148",3,3,0,0,0
"Gr45",3,3,0,0,0
"Ir128",3,3,0,0,0
"Ir106",3,3,0,0,0
"Ir7c",2,2,0,0,0
"Gr39c",2,2,0,0,0
"Ir75j",2,2,0,0,0
"Gr4",2,1,1,1,0
"Gr6",2,2,0,0,0
"Gr20g",2,2,0,0,0
"Gr20a",2,2,0,0,0
"Gr20m",2,2,0,0,0
"Ir116",2,2,0,0,0
"Ir164",2,2,0,0,0
"Gr74d",2,2,0,0,0
"Ir7k",1,1,0,0,0
"Ir135",1,1,0,0,0
"Gr18",1,1,0,0,0
"Gr61a",1,1,0,0,0
"Gr61b",1,1,0,0,0
"Ir7q",1,1,0,0,0
"Ir140",1,1,0,0,0
"Or18",1,1,0,0,0
"Ir152",1,1,0,0,0
"Or89",1,1,0,0,0
"Ir133",1,1,0,0,0
"Ir7d",0,0,0,0,0
"Gr37",0,0,0,0,0
"Or120",0,0,0,0,0
"Ir169",0,0,0,0,0
"Gr21",0,0,0,0,0
"Gr41",0,0,0,0,0
"Gr61c",0,0,0,0,0
"Gr13",0,0,0,0,0
"Ir158",0,0,0,0,0
"Ir126",0,0,0,0,0
"Ir110",0,0,0,0,0
"Gr60a",0,0,0,0,0
