"Gene","pseudo_bulk","RawData_CellCount_0.5","RawData_CellCount_1.0","RawData_CellCount_1.5","RawData_CellCount_2.0"
"Gr1",19146,36,0,0,0
"Orco",7983,5852,5169,5169,4813
"Or8",1438,0,0,0,0
"Gr2",1122,5,0,0,0
"Or49",1120,7,0,0,0
"Ir25a",1044,3562,1820,1820,1123
"Gr3",513,0,0,0,0
"Ir76b",404,2098,1046,1046,792
"Ir93a",63,125,34,34,22
"Or16",59,437,107,107,58
"Ir100a",48,21,12,12,10
"Ir64a",41,432,75,75,42
"Ir41a",41,907,249,249,112
"Ir161",33,52,9,9,2
"Ir41o",33,474,91,91,49
"Or44",32,193,42,42,20
"Ir75g",31,303,77,77,59
"Ir41k",26,427,76,76,51
"Or47",20,682,275,275,224
"Or4",19,463,144,144,125
"Gr64",17,89,2,2,0
"Gr73",15,132,3,3,0
"Or81",15,360,67,67,22
"Or6",14,240,94,94,79
"Gr77",14,280,79,79,41
"Gr74a",12,45,0,0,0
"Gr30",11,130,8,8,1
"Ir75e",11,247,50,50,33
"Gr26",10,33,2,2,0
"Gr67a",9,51,3,3,0
"Or125",9,112,17,17,13
"Or48",9,103,4,4,0
"Or132",9,362,112,112,93
"Or104",8,519,187,187,76
"Gr34",8,50,4,4,1
"Gr8",8,19,0,0,0
"Ir117",8,82,5,5,0
"Ir8a",7,817,385,385,248
"Ir75h",7,291,152,152,125
"Or23",7,281,92,92,60
"Or36",6,739,405,405,230
"Gr19a",6,18,0,0,0
"Or9",6,16,0,0,0
"Or128",6,20,0,0,0
"Ir31a2",6,118,41,41,33
"Gr55",6,0,0,0,0
"Ir41p",6,240,89,89,70
"Or58",5,64,5,5,0
"Or77",5,48,11,11,1
"Ir31a1",5,237,119,119,110
"Gr31",5,26,1,1,0
"Gr32",5,17,0,0,0
"Or34",5,41,0,0,0
"Or22",5,52,7,7,1
"Ir162",5,59,0,0,0
"Or71",4,276,103,103,50
"Ir75i",4,188,60,60,30
"Or82",4,445,216,216,172
"Gr7",4,64,1,1,0
"Gr10",4,15,0,0,0
"Gr23",4,29,1,1,0
"Gr62",4,37,0,0,0
"Or85",4,295,161,161,125
"Ir75d",4,57,22,22,13
"Or52",4,323,78,78,34
"Ir102",3,6,0,0,0
"Gr16",3,5,1,1,0
"Gr19c",3,7,2,2,2
"Ir107",3,13,0,0,0
"Gr76",3,46,5,5,3
"Or43",3,33,6,6,1
"Or84",3,1382,693,693,568
"Gr80",3,45,0,0,0
"Gr25",3,34,0,0,0
"Or32",2,118,45,45,26
"Ir136",2,92,9,9,0
"Gr33a",2,8,0,0,0
"Ir21a",2,45,20,20,14
"Ir75f",2,127,53,53,39
"Or121",2,176,62,62,46
"Gr63",2,31,0,0,0
"Gr43",2,10,0,0,0
"Ir41n",2,21,0,0,0
"Ir75k",2,79,28,28,16
"Or94",2,462,223,223,123
"Or97",2,415,99,99,33
"Or38",2,267,81,81,69
"Or67",2,55,8,8,3
"Ir41b",2,176,80,80,72
"Ir113",2,6,0,0,0
"Gr11",1,12,1,1,0
"Gr39a",1,4,0,0,0
"Gr39e",1,7,0,0,0
"Gr39d",1,4,0,0,0
"Gr39h",1,9,0,0,0
"Gr69",1,3,0,0,0
"Gr22",1,13,1,1,0
"Gr46",1,13,1,1,1
"Ir41c",1,413,213,213,185
"Gr58",1,7,1,1,0
"Gr45",1,3,0,0,0
"Ir7e",1,11,0,0,0
"Ir137",0,19,0,0,0
"Ir134",0,4,0,0,0
"Ir103",0,29,8,8,1
"Or122",0,191,61,61,46
"Or29",0,124,25,25,21
"Ir75j",0,2,0,0,0
"Ir169",0,0,0,0,0
"Gr14",0,16,1,1,0
"Gr60a",0,0,0,0,0
"Or28",0,52,8,8,2
"Ir164",0,2,0,0,0
"Ir163",0,16,0,0,0
