snRNAseq Supplementary Data Table of Contents (& Where to Find Large Data Files),,,,,
"Updated January 3, 2022 - for questions, contact ogoldman@rockefeller.edu",,,,,
,,,,,
All supplementary analysis is in the following repository:,,,,,
https://github.com/VosshallLab/Younger_Herre_Vosshall2020,,,,,
"snRNAseq data files, scripts, and expression matricies are in a separate repository:",,,,,
https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS,,,,,
,,,,,
TISSUE,LOCATION,DESCRIPTION,DATA FILE NAME (located in Younger_Herre_Vosshall2020_LFS/Data),SCRIPT FILE NAME (located in Younger_Herre_Vosshall2020_LFS/Scripts),GITHUB LINK (IF APPLICABLE)
Antenna,Figure 5B,All Cells Marker Heatmap,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure 5C,Neurons tSNE,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure 5D,"Dot plot (manually edited, for full version see Figure S10A)",N/A,N/A,
Antenna,Figure 5E,Chord Plot,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure 5F-I,"Simplified Coexpression Heatmap (Ir64a, Or4, Or82, I41k)",AntennaNeurons.RData,SimplifiedCoexpressionHeatmaps.R,
Antenna,Figure S9A,Orco Feature Plot (DeconX illustration),antenna_1.Decontx.08192021.Rdata antenna_1.Decontx.10062021.Rdata,antenna_1.decontX.R,
Antenna,Figure S9B,Doublet Removal Scatter Plot,antenna_2.DoubletFinder.08192021.rds antenna_2.DoubletFinder.10062021.rds,antenna_2.doubletfinder.R,
Antenna,Figure S9C-E,"Genes, UMIs, Mitochondrial Genes Violin Plots",antenna_3.merge.filter.rds,antenna_3.integrate.R,
Antenna,Figure S9F,Batch Correction Feature Plot,antenna_3.merge.filter.rds antenna_4.seurat.combined.rds,antenna_3.integrate.R antenna_4.anchor.R,
Antenna,Figure S9G,All Cells tSNE,antenna_4.seurat.combined.rds,antenna_4.anchor.R,
Antenna,Figure S9H,Cell Marker Feature Plot,AntennaNeurons.RData,FeaturePlots.R,
Antenna,Figure S9I,Neural Marker Dot Plot,AntennaNeurons.RData,FeaturePlots.R,
Antenna,Figure S10A,Chemosensor Dot Plot,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure S10B,Dot Plot Criteria Scatter Plot,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure S10C,Cluster Coexpression Heatmap,AntennaNeurons.RData,CoexpressionHeatmaps.R,
Antenna,Figure S10D,"Gene Expression Violin Plot (Orco, Ir25a)",AntennaNeurons.RData,ViolinPlots.R,
Antenna,Figure S10E,Cluster Gene Expression Scatter Plot,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure S10F,Cell Gene Expression Scatter Plot,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
Antenna,Figure S10G,Gene Expression Venn Diagram,antenna_6.neuralClusters.Rdata,antenna_7.expressedReceptors.R,
